Issue Type,Issue key,Assignee,Status,Priority,Updated
New Feature,TTOP-317,gil9red,Open,Info Request/Minor,03-08-2018 19:25
Task,TTOP-379,gil9red,Closed,Ordinary,03-08-2018 17:41
Task,RBTWS-11202,gil9red,Resolved,Info Request/Minor,03-08-2018 17:22
Task,TTOP-380,gil9red,Closed,Ordinary,03-08-2018 17:22
Task,TTOP-373,gil9red,Resolved,Ordinary,03-08-2018 17:21
Bug,RBTWS-24740,gil9red,Closed,Moderate/Major,03-08-2018 16:13
Bug,RBTWS-24734,gil9red,Closed,Moderate/Major,03-08-2018 16:13
Bug,TTOP-203,gil9red,Resolved,Ordinary,03-08-2018 12:21
Task,TTOP-267,gil9red,Open,Ordinary,02-08-2018 18:37
Task,TTOP-111,gil9red,Closed,Ordinary,02-08-2018 17:41
Task,RBTWS-24590,gil9red,Resolved,Ordinary,02-08-2018 12:42
Bug,TTOP-236,gil9red,Resolved,Ordinary,01-08-2018 15:05
Task,TTOP-218,gil9red,Resolved,Ordinary,01-08-2018 14:45
Task,TTOP-332,gil9red,Resolved,Ordinary,01-08-2018 12:33
Question,TTOP-276,gil9red,Reopened,Ordinary,31-07-2018 13:37
Bug,TTOP-257,gil9red,Closed,Ordinary,31-07-2018 12:36
Bug,TTOP-270,gil9red,Closed,Ordinary,30-07-2018 16:51
Task,TTOP-226,gil9red,Closed,Ordinary,30-07-2018 14:23
Bug,TTOP-102,gil9red,Open,Ordinary,30-07-2018 14:20
Bug,TTOP-323,gil9red,Resolved,Ordinary,27-07-2018 17:43
Task,RBTWS-23275,gil9red,Resolved,Ordinary,27-07-2018 17:37
Task,TTOP-344,gil9red,Resolved,Ordinary,27-07-2018 17:10
Task,RBTWS-23908,gil9red,Open,Ordinary,27-07-2018 10:23
Task,RBTWS-24119,gil9red,Closed,Ordinary,26-07-2018 18:26
New Feature,RBTWS-24699,gil9red,Closed,Ordinary,25-07-2018 16:47
Bug,RBTWS-21999,gil9red,In Progress,Moderate/Major,25-07-2018 15:18
Question,RBTWS-22196,gil9red,Resolved,Ordinary,24-07-2018 17:40
Task,RBTWS-24655,gil9red,Closed,Ordinary,24-07-2018 17:24
Sub-task,RBTWS-23915,gil9red,Closed,Ordinary,24-07-2018 15:30
Sub-task,RBTWS-24633,gil9red,Closed,Ordinary,23-07-2018 18:44
Bug,TTOP-378,gil9red,Closed,Ordinary,19-07-2018 17:13
Task,RBTWS-24583,gil9red,Resolved,Ordinary,17-07-2018 17:05
